Date,GAP,GLD,GM,JPM,META,NVDA,PLTR,SPY
2020-10-01,15.054238319396973,178.6999969482422,29.539846420288086,85.20193481445312,265.3792724609375,13.574773788452148,9.460000038146973,316.0117492675781
2020-10-02,15.45860481262207,178.5399932861328,29.617630004882812,86.01029205322266,258.72064208984375,13.024136543273926,9.199999809265137,313.0113220214844
2020-10-05,16.199947357177734,179.41000366210938,30.103801727294922,87.82823181152344,263.4085693359375,13.602691650390625,9.029999732971191,318.5621032714844
2020-10-06,15.69448471069336,177.3000030517578,29.55929183959961,86.9236831665039,257.4466552734375,13.696416854858398,9.899999618530273,314.0333251953125
2020-10-07,16.663286209106445,177.22000122070312,30.745555877685547,88.44013214111328,256.9091491699219,13.923255920410156,10.0,319.4996643066406
2020-10-08,16.70540428161621,177.85000610351562,31.319236755371094,90.25804138183594,262.5227355957031,13.798371315002441,10.0,322.33123779296875
2020-10-09,16.688554763793945,181.0800018310547,31.270620346069336,89.74369049072266,263.2095031738281,13.7225923538208,9.949999809265137,325.2097473144531
2020-10-12,16.242067337036133,180.55999755859375,31.319236755371094,90.84334564208984,274.45648193359375,14.184491157531738,9.890000343322754,330.4415588378906
2020-10-13,16.292613983154297,177.72000122070312,30.98863983154297,89.37125396728516,274.84466552734375,14.206676483154297,9.470000267028809,328.2850036621094
2020-10-14,16.520069122314453,178.27000427246094,30.794170379638672,88.87464904785156,270.544921875,14.054121017456055,9.34000015258789,326.2222900390625
2020-10-15,16.73067283630371,178.9199981689453,31.68872833251953,90.20484924316406,265.4688415527344,13.929235458374023,9.90999984741211,325.819091796875
2020-10-16,16.275766372680664,178.3000030517578,32.52495193481445,90.01861572265625,264.68255615234375,13.771199226379395,9.710000038146973,325.62225341796875
2020-10-19,16.09043312072754,178.38999938964844,32.427703857421875,88.50220489501953,260.17376708984375,13.458367347717285,9.569999694824219,320.6717224121094
2020-10-20,16.03145980834961,179.25,34.61548614501953,89.00765991210938,266.3049011230469,13.605684280395508,9.270000457763672,321.9561462402344
2020-10-21,15.677638053894043,180.60000610351562,34.780784606933594,88.12088012695312,277.4225158691406,13.485285758972168,9.199999809265137,321.34674072265625
2020-10-22,17.817413330078125,178.8300018310547,36.37543487548828,91.2335205078125,276.81536865234375,13.322014808654785,9.680000305175781,323.1094055175781
2020-10-23,18.04486846923828,178.63999938964844,35.81147766113281,92.0582504272461,283.4541015625,13.5505952835083,9.489999771118164,324.20648193359375
2020-10-26,17.354074478149414,178.5500030517578,34.829402923583984,89.77918243408203,275.8100891113281,13.102904319763184,9.949999809265137,318.2151794433594
2020-10-27,17.14347267150879,179.02000427246094,33.92512130737305,88.08538818359375,281.9610900878906,13.357658386230469,10.949999809265137,317.1181640625
2020-10-28,16.31788444519043,176.1300048828125,33.147239685058594,85.61125183105469,266.4143981933594,12.590157508850098,10.850000381469727,306.27935791015625
2020-10-29,16.55376434326172,175.39999389648438,33.92512130737305,86.16990661621094,279.5126647949219,12.98599624633789,10.75,309.39227294921875
2020-10-30,16.38528060913086,176.1999969482422,33.57508087158203,86.9414291381836,261.875732421875,12.497428894042969,10.130000114440918,306.1668701171875
2020-11-02,17.547834396362305,177.91000366210938,33.59452819824219,88.90126037597656,260.1339416503906,12.544041633605957,10.539999961853027,309.5985107421875
2020-11-03,17.64892578125,178.9199981689453,34.37240219116211,91.70352935791016,264.0555114746094,12.981512069702148,10.5,315.064697265625
2020-11-04,17.632078170776367,178.82000732421875,34.26544189453125,88.90126037597656,286.03192138671875,13.753998756408691,10.720000267028809,322.1061706542969
2020-11-05,17.943777084350586,182.92999267578125,36.11289596557617,92.53710174560547,293.2976989746094,14.118681907653809,11.880000114440918,328.3882141113281
2020-11-06,18.053293228149414,183.19000244140625,36.433773040771484,91.30447387695312,292.0336608886719,14.519508361816406,13.829999923706055,328.3131408691406
2020-11-09,19.426454544067383,175.0800018310547,37.882564544677734,103.66641235351562,277.4623107910156,13.59097671508789,14.670000076293945,332.4386291503906
2020-11-10,19.662338256835938,175.66000366210938,39.943939208984375,103.32942199707031,271.15203857421875,12.732738494873047,14.0,331.95111083984375
2020-11-11,19.20742416381836,174.89999389648438,39.43832015991211,101.7863998413086,275.1830749511719,13.3788480758667,15.960000038146973,334.4170227050781
2020-11-12,18.306020736694336,175.9600067138672,38.23260498046875,100.53600311279297,273.78961181640625,13.417484283447266,14.579999923706055,331.1728820800781
2020-11-13,18.592445373535156,177.16000366210938,40.050899505615234,101.1656494140625,275.6508483886719,13.258201599121094,15.800000190734863,335.7577819824219
2020-11-16,20.353132247924805,177.14999389648438,40.96489715576172,104.02112579345703,277.65142822265625,13.475812911987305,15.930000305175781,339.9490051269531
2020-11-17,20.690099716186523,176.5,40.81904602050781,102.9658432006836,273.7099609375,13.383085250854492,17.850000381469727,338.12054443359375
2020-11-18,19.940336227416992,175.49000549316406,41.5385856628418,102.20317840576172,270.6942138671875,13.389564514160156,17.899999618530273,334.0513610839844
2020-11-19,20.55531120300293,175.16000366210938,41.63582229614258,102.47808837890625,271.65966796875,13.401033401489258,18.979999542236328,335.4577941894531
2020-11-20,20.53004264831543,175.69000244140625,41.849735260009766,101.60015869140625,268.43487548828125,13.049561500549316,18.149999618530273,333.16064453125
2020-11-23,21.953750610351562,172.22999572753906,43.53189468383789,104.52657318115234,267.1708068847656,13.101659774780273,21.040000915527344,335.1576843261719
2020-11-24,22.63611602783203,169.58999633789062,45.17515563964844,109.35963439941406,275.6209716796875,12.919941902160645,23.81999969482422,340.558349609375
