,MeanReturn_Annual,Volatility_Annual
GAP,0.29676140918777083,0.5741487692940713
GLD,0.12712133524311575,0.15115564957394378
GM,0.17789296729859613,0.3762385333926183
JPM,0.27724223517345115,0.25802118710760735
META,0.29134565537726564,0.4443678707260274
NVDA,0.6444575728057503,0.5362716085820863
PLTR,0.8123639081920231,0.7318771108396441
SPY,0.1503042536591927,0.17724261523478893
