Unnamed: 0,simulation_id,run_date,initial_portfolio_value,num_simulations,returns,volatility,sharpe_ratio,prob_loss,VaR_95,weights
0,sim_0729165f-f1c9-41a5-968a-6eef1dafd165,2025-06-01,100000,1000,0.5084974711321026,0.5822751135415725,0.8561201733319684,0.142,-0.1510485918286016,"{'GAP': 0.14419089845467797, 'GLD': 0.19116791174113046, 'GM': 0.06591175135840355, 'JPM': 0.013968261827944223, 'META': 0.25223685744722535, 'NVDA': 0.04755437272768347, 'PLTR': 0.23203608789517294, 'SPY': 0.05293385854776205}"
1,sim_db60bfc2-130b-4e00-b537-c7530ff1e695,2025-06-01,100000,1000,0.6366499151924416,0.6843801699022284,0.9156459271488911,0.128,-0.1504762700618538,"{'GAP': 0.027400910884990155, 'GLD': 0.02759785196694246, 'GM': 0.06742407318046942, 'JPM': 0.23019148281728438, 'META': 0.07577338143540019, 'NVDA': 0.13051280722394729, 'PLTR': 0.3101272774991861, 'SPY': 0.13097221499177983}"
2,sim_7029fb4f-04a0-42f4-a489-88973e12df99,2025-06-01,100000,1000,0.498771927743222,0.5027621353874648,0.9721733068989752,0.134,-0.1252424317398736,"{'GAP': 0.21761135074248084, 'GLD': 0.002961679310902842, 'GM': 0.10743801047338726, 'JPM': 0.24552071274623533, 'META': 0.11767966486438264, 'NVDA': 0.26300780079532793, 'PLTR': 0.029286166910217275, 'SPY': 0.016494614157065806}"
3,sim_6c2c0c87-9e95-43fb-b1f2-fce61afb2fcf,2025-06-01,100000,1000,0.3654485928753348,0.4077005688186209,0.8718373729654222,0.196,-0.1654867924568265,"{'GAP': 0.2377804008850055, 'GLD': 0.0885387278348192, 'GM': 0.2209357291649302, 'JPM': 0.07371417334788216, 'META': 0.09882473325101725, 'NVDA': 0.13957637732635883, 'PLTR': 0.016716557163581766, 'SPY': 0.12391330102640512}"
4,sim_9d3b7110-22c2-421b-8057-01695da3f44e,2025-06-01,100000,1000,0.3210113511348978,0.294671984793108,1.055449337517653,0.099,-0.0688340020540479,"{'GAP': 0.07280355848465131, 'GLD': 0.5835140884990853, 'GM': 0.12128901104466124, 'JPM': 0.05109870101874591, 'META': 0.028467538414222143, 'NVDA': 0.06839252503677537, 'PLTR': 0.07371567960294564, 'SPY': 0.0007188978989131858}"
5,sim_326a7184-4a00-4086-9881-41508ee79fd5,2025-06-01,100000,1000,0.3061100747492672,0.429978232363386,0.6886629425905839,0.26,-0.2529358716634221,"{'GAP': 0.0823390754629531, 'GLD': 0.015395636176101709, 'GM': 0.6881598640409841, 'JPM': 0.0014216951108911987, 'META': 0.12006300725669214, 'NVDA': 0.052637476391356124, 'PLTR': 0.016922529067651494, 'SPY': 0.023060716493370194}"
6,sim_7fa74bb6-6e59-4013-84e6-d6a43c839fe6,2025-06-01,100000,1000,0.459297630422773,0.5266750082930983,0.8530832550397679,0.159,-0.1838097975786867,"{'GAP': 0.17170008105829357, 'GLD': 0.08964055606840049, 'GM': 0.2608095612140556, 'JPM': 0.039140766556094886, 'META': 0.0644076707147368, 'NVDA': 0.3066546503532041, 'PLTR': 0.02605730575209356, 'SPY': 0.04158940828312077}"
7,sim_1634dbbf-dba7-43f9-a332-c14b53222098,2025-06-01,100000,1000,0.4227146317621056,0.3996835561414196,1.032603481980818,0.099,-0.0654009592171728,"{'GAP': 0.030799505176002547, 'GLD': 0.47346413626282857, 'GM': 0.0007668218105290154, 'JPM': 0.033713997771516235, 'META': 0.10317001832933392, 'NVDA': 0.266448118391176, 'PLTR': 0.04675125974742841, 'SPY': 0.04488614251118534}"
8,sim_81ed8da7-b3ba-4434-89e9-311dc893a0f8,2025-06-01,100000,1000,0.5544739726108068,0.576492064385179,0.9444604813276676,0.128,-0.120585550985565,"{'GAP': 0.10939772464233444, 'GLD': 0.008212921925334009, 'GM': 0.11630110697145574, 'JPM': 0.3807536192773471, 'META': 0.010714790450757242, 'NVDA': 0.0856072966924844, 'PLTR': 0.21722900612470775, 'SPY': 0.07178353391557926}"
9,sim_24afc989-8d9c-408d-869b-42134651a8f5,2025-06-01,100000,1000,0.4320192512874516,0.4651680159643803,0.9072404739877198,0.149,-0.1904770478628446,"{'GAP': 0.25240243476808055, 'GLD': 0.06405179971262291, 'GM': 0.13335245684968441, 'JPM': 0.19663382343678162, 'META': 0.1673076436104933, 'NVDA': 0.12861364564429126, 'PLTR': 0.057422367525622055, 'SPY': 0.00021582845242395092}"
10,sim_1dd55760-31ec-41fe-9113-3f52c540c6e3,2025-06-01,100000,1000,0.4283871910988792,0.456631823759248,0.91624623893815,0.142,-0.1396354106596218,"{'GAP': 0.023001008618023837, 'GLD': 0.19813370929188545, 'GM': 0.3295613167145207, 'JPM': 0.010240026166899225, 'META': 0.03291316113414164, 'NVDA': 0.1754240462500795, 'PLTR': 0.1258569761844266, 'SPY': 0.10486975564002315}"
11,sim_f8ff1bf4-79c7-4ba1-b043-38ab676091be,2025-06-01,100000,1000,0.4310670476849454,0.4212901015523608,0.9994705456724632,0.129,-0.1306203403099736,"{'GAP': 0.020339075281984177, 'GLD': 0.008017063641644779, 'GM': 0.1917914611319281, 'JPM': 0.2845180324701172, 'META': 0.21804021415860678, 'NVDA': 0.20898293708449067, 'PLTR': 0.014797701671060356, 'SPY': 0.05351351456016784}"
